account_id,credit_score,monthly_income,balance,debt_ratio,delinquency_30_days,delinquency_60_days,delinquency_90_days,open_credit_lines,dependents,age,times_90_days_late,real_estate_loans,serious_delinquency,account_open_date
XAJI0Y6DPB,699,5213,14142,0.4564,0,0,1,6,1,23,0,1,1,2021-10-30
HSAHXTHV3A,636,4729,26581,0.2226,1,0,0,6,0,55,0,0,0,2022-01-25
3ZMF8MDD4V,714,8699,16983,0.3626,0,0,1,8,2,28,0,0,1,2020-02-06
30T9NT3W5U,802,12328,78715,0.3573,0,0,0,10,2,68,0,0,0,2020-07-27
ZBIKCIDKWN,626,7421,8658,0.3792,0,0,0,7,3,74,0,1,0,2022-12-27
NHJ7XVG0FN,626,9017,60535,0.2269,0,0,0,7,3,66,0,2,0,2022-12-11
9XUY41IBLJ,807,4313,20594,0.2264,0,1,0,5,0,73,0,2,0,2021-06-15
H75LXO6QJI,726,5298,3386,0.1359,0,0,0,9,1,54,0,1,0,2021-05-03
UJV6OH9SDB,603,11985,28805,0.111,1,0,0,6,0,79,0,1,1,2023-03-25
DW2PCN9T84,704,6741,27761,0.2385,0,0,0,6,2,37,0,1,0,2022-09-15
AZYTJXEPQ8,603,4250,22610,0.1973,0,0,0,8,0,57,1,1,0,2023-06-11
5JSG65KXVF,603,5011,27828,0.1436,0,0,0,15,0,43,0,0,0,2023-10-03
1T2TALA753,674,9157,66044,0.289,1,0,0,6,0,45,0,2,0,2021-12-31
LC58DRC11E,458,9659,36570,0.3283,0,0,0,8,2,24,0,1,0,2022-10-01
RTJ5PHT0HL,477,2965,1761,0.3635,1,0,0,7,2,28,0,0,0,2022-01-04
9XPSEIMVIH,593,6109,15279,0.4352,1,0,1,8,1,18,0,1,1,2022-01-01
CWI64CIYHE,548,4891,5857,0.0874,0,1,1,7,1,30,0,0,0,2020-05-14
7UR23GDPPQ,681,4725,32069,0.2064,0,0,0,5,1,22,0,1,0,2021-02-14
0Y9DOM5IGQ,559,10918,17740,0.4206,0,0,0,7,3,36,0,2,0,2021-12-24
PKI7P5TB94,508,4261,13580,0.2062,0,0,1,8,4,46,2,4,0,2021-02-10
874FRHOCN9,796,3479,5531,0.0506,1,0,0,5,2,34,0,1,0,2023-09-14
J2QP89UZFK,627,3013,13178,0.4579,1,0,0,7,4,56,1,1,0,2020-04-08
8UT0CVS4F8,656,4426,8707,0.4183,0,0,0,9,0,73,0,0,0,2021-12-04
CGVYIE6IVW,507,3161,19689,0.5072,0,1,0,10,0,74,0,0,0,2021-10-05
PVS7HZIOYK,595,2925,12233,0.5451,0,0,0,12,3,59,0,2,0,2021-01-16
L1CQ99CHJ7,661,2881,12158,0.6382,1,0,0,12,1,46,1,1,0,2021-07-31
55NF4ZW9XA,534,2985,22788,0.3362,2,0,0,6,0,67,0,2,1,2023-07-27
3KX7EEDTJV,687,3113,9056,0.2458,1,1,0,6,1,60,0,0,0,2023-09-10
ZHWJR64DPJ,589,6244,20951,0.0417,0,1,0,10,0,26,0,2,0,2020-06-29
A1WJ0TPAC5,620,1516,7488,0.0255,1,0,0,4,2,39,0,0,0,2021-02-18
6T4UFEL624,589,3225,9865,0.6989,1,0,0,6,0,25,0,0,0,2022-09-29
6HID25OWF7,835,4628,31087,0.4021,0,0,0,7,1,63,0,0,0,2021-03-27
5935A0L725,648,9790,45031,0.0425,0,0,0,11,3,25,0,2,0,2022-05-05
3J2D54I3QK,544,4240,2204,0.5568,1,1,0,4,0,42,0,0,0,2022-06-18
2IAGL58KXO,732,4482,13067,0.5679,0,0,0,5,1,76,0,2,0,2021-04-22
9T7E8G8JDP,527,4662,19781,0.2673,0,1,0,5,1,76,0,1,0,2022-12-03
0LVSNUJZA7,670,1645,10452,0.4023,0,0,0,4,2,20,0,1,0,2020-07-26
TZ0YNCXLL4,454,7298,44187,0.1326,0,0,0,8,4,66,0,0,0,2022-02-06
ZKLOOKEP7Y,517,7118,39335,0.109,1,0,0,6,0,64,0,1,0,2021-03-26
6WKTAKPUXQ,669,8012,54117,0.3313,0,0,1,6,3,46,0,0,0,2022-06-27
PHR62GDSWM,723,22103,46561,0.1401,0,0,0,7,0,48,0,1,0,2021-09-20
31YIHAIR4C,667,2254,8897,0.2599,0,0,0,12,3,23,0,1,0,2021-06-24
OWGZRIXA11,638,2012,9165,0.4707,1,0,0,9,0,68,0,1,1,2022-03-06
DPG8SBI4Q2,619,7506,58559,0.1606,0,0,0,7,1,31,0,0,0,2021-11-16
Y9V86WZS3T,502,4013,31390,0.3129,0,0,0,6,2,65,0,0,1,2020-03-06
60RJIW1SWJ,578,2720,11505,0.5787,0,0,0,8,0,27,0,1,1,2023-06-09
CKJLTEIYZC,603,4148,6494,0.0944,0,0,0,6,1,54,0,1,0,2022-01-10
OTOHP6VZ41,755,3391,24267,0.295,0,0,0,11,3,55,0,1,0,2022-11-07
NAM148P0TV,684,13833,9689,0.3894,0,0,0,5,2,40,0,1,1,2020-08-20
HHPBMYOFQE,473,19093,74259,0.51,0,0,1,4,0,66,0,2,0,2020-12-07
WAOUAXEQBN,682,1842,7804,0.2051,0,0,0,10,0,18,0,0,0,2021-11-22
HL1N13JCAT,611,2026,3246,0.2773,0,1,0,10,2,55,0,2,1,2021-02-13
9MX2X18HAF,582,3116,10240,0.5411,0,0,0,8,1,33,0,2,0,2021-10-08
EYUHZ1GV0E,711,3249,17991,0.3466,2,0,0,10,1,29,1,1,0,2022-01-24
